chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL3613609,C#CCOC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1,474.2379388200001,7,2,2.8432200000000005,Active
CHEMBL3939661,C=CC(NC(=O)c1ccc(-c2cn[nH]c2)c(OC)c1)c1c(F)cccc1F,369.128883224,3,2,4.020600000000003,Active
CHEMBL1996339,C=CCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,284.082874096,3,2,3.8762000000000016,Active
CHEMBL4109115,CC(=O)NC[C@@H](NC(=O)c1ccc(-c2cn[nH]c2)c(C)c1)c1ccccc1,362.174275944,3,3,2.992320000000001,Active
CHEMBL3666753,CC(=O)Oc1ccccc1-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1,395.13822478400004,6,2,4.842000000000002,Active
CHEMBL3793243,CC(C)(C)C(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1,405.2052417240001,5,2,4.005100000000002,Active
CHEMBL2005548,CC(C)(C)OC(=O)n1ncc2cc(Nc3c(NCc4ccc(Cl)cc4Cl)c(=O)c3=O)ccc21,486.08616047999993,8,2,5.078000000000003,Active
CHEMBL4451007,CC(C)(C)c1cc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)no1,461.158685456,7,2,4.348300000000003,Active
CHEMBL1084554,CC(C)(C)c1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1,423.17135475199996,3,3,4.420700000000003,Active
CHEMBL1968930,CC(C)(CN)CNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1,330.13597228800006,5,3,3.070100000000001,Active
CHEMBL1967662,CC(C)(CO)CCCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,358.15603903600004,4,3,4.488900000000003,Active
CHEMBL3338838,CC(C)(N)CNc1nc(-c2ccc3[nH]ncc3c2)nc2cnccc12,333.17019360800003,6,3,2.7173000000000007,Active
CHEMBL2147538,CC(C)(N)CNc1nc(-c2ccncc2)cc2cnccc12,293.164045608,5,2,2.841000000000001,Active
CHEMBL3338837,CC(C)(N)CNc1nc(-c2ccncc2)nc2cnccc12,294.159294576,6,2,2.2359999999999998,Active
CHEMBL2005387,CC(C)(O)CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,316.10908884400004,4,3,3.461100000000001,Active
CHEMBL3794444,CC(C)C(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1,391.1895916600001,5,2,3.615000000000001,Active
CHEMBL2006456,CC(C)CNC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,398.19857254400006,5,3,4.642000000000003,Active
CHEMBL1222413,CC(C)C[C@@H](N)C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl,307.108754496,3,3,2.4934000000000003,Active
CHEMBL3402475,CC(C)N(Cc1ccccc1)C(=O)Nc1ccc(-c2cn[nH]c2)cc1,334.179361324,2,2,4.519200000000002,Active
CHEMBL1222418,CC(C)N[C@H](C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CCCCC1,375.171354752,3,3,4.066900000000002,Active
CHEMBL1223498,CC(C)[C@H](N)C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl,293.093104432,3,3,2.1032999999999995,Active
CHEMBL1085773,CC(C)c1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1,409.15570468799996,3,3,4.246600000000003,Active
CHEMBL2002992,CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1,286.179361324,3,3,2.655000000000001,Active
CHEMBL3185765,CC(N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1,280.132411132,3,3,2.834900000000001,Active
CHEMBL2440742,CC(N)c1ccc(C(=O)Nc2ccncc2)cc1-c1ccc(F)cc1,335.143390416,3,2,4.159700000000003,Active
CHEMBL1999428,CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1,302.14191319599996,2,1,4.239600000000003,Active
CHEMBL3893554,CC(O)c1cc(C(=O)NC(C)c2c(F)cccc2F)ccc1-c1cn[nH]c1,371.1445332880001,3,3,3.899200000000002,Active
CHEMBL3890248,CC(O)c1cc(C(=O)NC(C)c2ccccc2F)ccc1-c1cn[nH]c1,353.1539551000001,3,3,3.760100000000002,Active
CHEMBL4114494,CC(O)c1cc(C(=O)N[C@H](C)c2c(F)cccc2F)ccc1-c1cn[nH]c1,371.1445332880001,3,3,3.899200000000002,Active
CHEMBL4112045,CC(O)c1cc(C(=O)N[C@H](C)c2ccccc2)ccc1-c1cn[nH]c1,335.1633769120001,3,3,3.621000000000002,Active
CHEMBL4113260,CC(O)c1cc(C(=O)N[C@H](C)c2ccccc2F)ccc1-c1cn[nH]c1,353.1539551000001,3,3,3.760100000000002,Active
CHEMBL4634858,CCC(O)CNCc1ccnc2ccc(OC)cc12,260.15247788,4,2,2.1039,Active
CHEMBL1992073,CCC1CC(NS(=O)(=O)C2CC2)CC1c1ncc2cnc3[nH]ccc3n12,373.1572459760001,5,2,2.5646000000000004,Active
CHEMBL3578252,CCC1Oc2cnccc2-c2ccc(C(=O)N[C@H](C)c3cccc(OC)c3)cc21,388.17869262799996,4,1,5.091700000000004,Active
CHEMBL3793688,CCCCC(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1,405.2052417240001,5,2,4.149200000000002,Active
CHEMBL2440748,CCCCCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3)ccc2CN)c1,431.2208917880001,5,2,5.196700000000003,Active
CHEMBL2440747,CCCCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3)ccc2CN)c1,417.2052417240001,5,2,4.806600000000003,Active
CHEMBL1968459,CCCCNc1cc(-c2c[nH]c3ncccc23)ncn1,267.148395544,4,2,3.2319000000000004,Active
CHEMBL2440746,CCCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3)ccc2CN)c1,403.1895916600001,5,2,4.416500000000002,Active
CHEMBL3700926,CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@@H](C)NC(=O)c4ccc(OC)c(OC)c4)c3)sc2C1,522.230076568,7,3,4.760500000000004,Active
