chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL3426630,CC(C)OC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,526.2016335640001,6,3,5.4162000000000035,Active
CHEMBL3426632,CCC(C)OC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,540.217283628,6,3,5.806300000000005,Active
CHEMBL1968705,CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCCC4)ccc3n2)c1,535.269573296,7,3,6.129900000000005,Active
CHEMBL3666722,CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCN(C)CC4)ccc3n2)c1,564.296122392,8,3,5.281500000000004,Active
CHEMBL3666754,CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4c(cnn4C)c3)c3cc(OCCN(C)C)ccc3n2)c1,523.2695732960001,8,2,5.606100000000004,Active
CHEMBL3426631,CCCCOC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,540.217283628,6,3,5.8079000000000045,Active
CHEMBL3700904,CCCC[C@@H](NC(=O)Nc1cccc(C#N)c1)c1cccc(C(=O)Nc2nc3c(s2)CN(C)CC3)c1,502.21509520000006,6,3,5.307980000000003,Active
CHEMBL3700971,CCCC[C@@H](NC(=O)c1ccc(OC)c(OC)c1)c1cccc(C(=O)Nc2nc3c(s2)CN(C)CC3)c1,522.2300765680001,7,2,5.061800000000004,Active
CHEMBL3700930,CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@@H](C)NC(=O)c4ccc(OC)c(C)c4)c3)sc2C1,506.235161948,6,3,5.060320000000004,Active
CHEMBL3700928,CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@@H](C)NC(=O)c4ccc(OC)c(Cl)c4)c3)sc2C1,526.1805395319999,6,3,5.405300000000004,Active
CHEMBL3700924,CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@H]4CCCN4C(=O)Nc4cccc(C#N)c4)c3)sc2C1,528.230745264,6,3,5.492980000000005,Active
CHEMBL3426634,CCCOC(=O)c1ccc(F)c(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,544.192211752,6,3,5.556900000000004,Active
CHEMBL3426638,CCCOC(=O)c1cccc(C(=O)Nc2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,526.2016335640001,6,3,5.417800000000003,Active
CHEMBL2004716,CCN(CC)CCNC(=O)C=Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12,542.2463953280001,6,4,5.969120000000005,Active
CHEMBL3426636,CC[C@@H](C)OC(=O)c1ccc(F)c(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,558.207861816,6,3,5.945400000000006,Active
CHEMBL3426635,CC[C@H](C)OC(=O)c1ccc(F)c(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,558.207861816,6,3,5.945400000000006,Active
CHEMBL220241,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,570.2339160600001,12,2,3.839000000000003,Active
CHEMBL4282551,CN(C)CCOc1cc(-c2ncc(-c3ccc(-c4cnco4)cn3)o2)nc(-c2ncc(-c3ccc(-c4cnco4)cn3)o2)c1,588.186965868,13,0,5.766000000000005,Active
CHEMBL3680773,CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4nnn(-c5nonc5N)c4-c4ccccc4)c3)sc2C1,584.2066557560001,12,3,2.957200000000001,Active
CHEMBL3700932,CN(C)[C@H]1CCc2nc(NC(=O)c3cccc([C@H]4CCCN4C(=O)Nc4cccc(C#N)c4)c3)sc2C1,514.2150952000001,6,2,5.054980000000005,Active
CHEMBL3700963,CN(C)[C@H]1CCc2nc(NC(=O)c3cccc([C@H]4CCCN4C(=O)c4ccc(-c5ccncc5)cc4)c3)sc2C1,551.2354962960001,6,1,5.853600000000006,Active
