molecule_chembl_id,type,relation,value,units,value_nM
CHEMBL133897,IC50,=,0.75,uM,750.0
CHEMBL336398,IC50,=,0.1,uM,100.0
CHEMBL131588,IC50,>,50.0,uM,50000.0
CHEMBL130628,IC50,=,0.3,uM,300.0
CHEMBL130478,IC50,=,0.8,uM,800.0
CHEMBL130112,IC50,=,2.4,uM,2400.0
CHEMBL130098,IC50,=,0.1,uM,100.0
CHEMBL337486,IC50,>,50.0,uM,50000.0
CHEMBL336538,IC50,=,0.8,uM,800.0
CHEMBL131051,IC50,>,50.0,uM,50000.0
CHEMBL341437,IC50,>,50.0,uM,50000.0
CHEMBL335033,IC50,=,0.05,uM,50.0
CHEMBL122983,IC50,>,100.0,uM,100000.0
CHEMBL338720,IC50,=,0.56,uM,560.0
CHEMBL339995,IC50,<,0.01,uM,10.0
CHEMBL335158,IC50,<,0.01,uM,10.0
CHEMBL131536,IC50,=,1.4,uM,1400.0
CHEMBL106126,IC50,=,17.0,uM,17000.0
CHEMBL334971,IC50,=,1.1,uM,1100.0
CHEMBL336625,IC50,>,50.0,uM,50000.0
CHEMBL130666,IC50,=,0.026,uM,26.0
CHEMBL134061,IC50,>,50.0,uM,50000.0
CHEMBL133388,IC50,=,0.8,uM,800.0
CHEMBL130645,IC50,>,50.0,uM,50000.0
CHEMBL335112,IC50,,,uM,
CHEMBL133580,IC50,>,50.0,uM,50000.0
CHEMBL336524,IC50,=,0.056,uM,56.0
CHEMBL336276,IC50,=,0.2,uM,200.0
CHEMBL334395,IC50,=,0.3,uM,300.0
CHEMBL131320,IC50,=,0.2,uM,200.0
CHEMBL339297,IC50,>,50.0,uM,50000.0
CHEMBL337714,IC50,=,0.5,uM,500.0
CHEMBL122575,IC50,>,100.0,uM,100000.0
CHEMBL130704,IC50,>,50.0,uM,50000.0
CHEMBL46151,IC50,=,0.26,mM,260000.0
CHEMBL296010,IC50,,,mM,
CHEMBL54126,IC50,=,22.0,nM,22.0
CHEMBL295017,IC50,,,mM,
CHEMBL297316,IC50,>,1.0,mM,1000000.0
CHEMBL65667,IC50,=,3.8,uM,3800.0
CHEMBL431519,IC50,=,0.04,uM,40.0
CHEMBL14598,IC50,,,mM,
CHEMBL296429,IC50,>,1.0,mM,1000000.0
CHEMBL154972,IC50,=,73.0,nM,73.0
CHEMBL152722,IC50,=,3100.0,nM,3100.0
CHEMBL544022,IC50,=,0.52,mM,520000.0
CHEMBL349127,IC50,=,4500.0,nM,4500.0
CHEMBL156659,IC50,=,1200.0,nM,1200.0
CHEMBL45118,IC50,>,1.0,mM,1000000.0
CHEMBL47284,IC50,,,mM,
CHEMBL542609,IC50,>,1.0,mM,1000000.0
CHEMBL155322,IC50,=,540.0,nM,540.0
CHEMBL154211,IC50,=,30.0,nM,30.0
CHEMBL1203537,IC50,=,830.0,nM,830.0
CHEMBL86,IC50,>,20000.0,nM,20000.0
CHEMBL47375,IC50,>,1.0,mM,1000000.0
CHEMBL542360,IC50,>,1.0,mM,1000000.0
CHEMBL345849,IC50,=,390.0,nM,390.0
CHEMBL154689,IC50,=,390.0,nM,390.0
CHEMBL346733,IC50,=,430.0,nM,430.0
CHEMBL416464,IC50,>,1.0,mM,1000000.0
CHEMBL47815,IC50,,,mM,
CHEMBL1203539,IC50,=,600.0,nM,600.0
CHEMBL347729,IC50,>,2000.0,nM,2000.0
CHEMBL296786,IC50,>,1.0,mM,1000000.0
CHEMBL63173,IC50,=,21.0,uM,21000.0
CHEMBL433041,IC50,=,0.29,uM,290.0
CHEMBL292788,IC50,=,0.7,uM,700.0
CHEMBL33051,IC50,=,0.46,mM,460000.0
CHEMBL155392,IC50,=,630.0,nM,630.0
CHEMBL153311,IC50,=,2100.0,nM,2100.0
CHEMBL543546,IC50,=,0.33,mM,330000.0
CHEMBL1420,IC50,=,0.34,mM,340000.0
CHEMBL556172,IC50,>,1.0,mM,1000000.0
CHEMBL154263,IC50,=,290.0,nM,290.0
CHEMBL544669,IC50,=,0.21,mM,210000.0
CHEMBL62664,IC50,=,0.04,uM,40.0
CHEMBL155111,IC50,=,80.0,nM,80.0
CHEMBL1203534,IC50,=,95.0,nM,95.0
CHEMBL541044,IC50,=,0.71,mM,710000.0
CHEMBL543779,IC50,=,0.18,mM,180000.0
CHEMBL155495,IC50,>,20000.0,nM,20000.0
CHEMBL64011,IC50,=,0.06,uM,60.0
CHEMBL65585,IC50,=,0.07,uM,70.0
CHEMBL347539,IC50,=,280.0,nM,280.0
CHEMBL154433,IC50,=,11000.0,nM,11000.0
CHEMBL157208,IC50,=,1500.0,nM,1500.0
CHEMBL1790041,IC50,=,650.0,nM,650.0
CHEMBL65356,IC50,=,0.93,uM,930.0
CHEMBL154366,IC50,=,370.0,nM,370.0
CHEMBL153821,IC50,=,4500.0,nM,4500.0
CHEMBL416644,IC50,=,0.72,mM,720000.0
CHEMBL94,IC50,=,0.03,uM,30.0
CHEMBL303574,IC50,=,7.6,uM,7600.0
CHEMBL65018,IC50,=,0.08,uM,80.0
CHEMBL296277,IC50,>,1.0,mM,1000000.0
CHEMBL66309,IC50,=,0.38,uM,380.0
CHEMBL1203535,IC50,=,3300.0,nM,3300.0
CHEMBL296560,IC50,>,1.0,mM,1000000.0
CHEMBL555477,IC50,,,mM,
CHEMBL152260,IC50,=,370.0,nM,370.0
CHEMBL154950,IC50,=,9300.0,nM,9300.0
CHEMBL296669,IC50,>,1.0,mM,1000000.0
CHEMBL1203538,IC50,=,120.0,nM,120.0
CHEMBL59109,IC50,=,3.0,uM,3000.0
CHEMBL286990,IC50,=,10.6,uM,10600.0
CHEMBL294891,IC50,=,0.4,uM,400.0
CHEMBL1255901,IC50,=,0.005,uM,5.0
CHEMBL95,IC50,=,0.254,uM,254.0
CHEMBL89011,IC50,=,245.0,uM,245000.0
CHEMBL748,IC50,=,366.0,uM,366000.0
CHEMBL50608,IC50,=,11.48,uM,11480.0
CHEMBL29300,IC50,=,6.8,uM,6800.0
CHEMBL27675,IC50,=,26.5,uM,26500.0
CHEMBL435373,IC50,=,2.0,uM,2000.0
CHEMBL60167,IC50,=,0.676,uM,676.0
CHEMBL89012,IC50,=,2.98,uM,2980.0
CHEMBL314800,IC50,=,18.58,uM,18580.0
CHEMBL553212,IC50,=,17.9,uM,17900.0
CHEMBL156630,IC50,=,4.19,uM,4190.0
CHEMBL315013,IC50,=,0.219,uM,219.0
CHEMBL155754,IC50,=,0.23,uM,230.0
CHEMBL314658,IC50,=,0.75,uM,750.0
CHEMBL87170,IC50,=,0.0046,uM,4.6
