chembl_id_ligand,smiles,activity_type
CHEMBL4290868,Brc1ccc(-c2cc3ccccc3o2)cc1,Active
CHEMBL3943071,Brc1ccc(-c2nc3ccc(N4CCCCC4)nc3o2)cc1,Active
CHEMBL4167140,Brc1ccc(COc2cccc(Br)c2)cc1,Active
CHEMBL3402202,Brc1ccc(OCCOc2ccc3c(c2)OCCO3)cc1,Active
CHEMBL3402197,Brc1cccc(COc2ccc3c(c2)OCCO3)c1,Active
CHEMBL3402190,Brc1cccc(COc2ccc3c(c2)OCO3)c1,Active
CHEMBL4159892,Brc1cccc(COc2cccc(Br)c2)c1,Active
CHEMBL3121791,C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,Active
CHEMBL3121773,C#CCCCCOc1ccc2c(c1)NC(=O)CC2,Active
CHEMBL3121792,C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,Active
CHEMBL3121784,C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,Active
CHEMBL3121786,C#CCCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,Active
CHEMBL3121788,C#CCCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,Active
CHEMBL3121790,C#CCCCCOc1ccc2ccc(=O)oc2c1,Active
CHEMBL3121785,C#CCCCCOc1ccc2oc(=O)c(C(=O)OC)cc2c1,Active
CHEMBL3121789,C#CCCCCOc1ccc2oc(=O)c(NC(C)=O)cc2c1,Active
CHEMBL3121783,C#CCCCOc1ccc2c(C)cc(=O)oc2c1,Active
CHEMBL3121775,C#CCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,Active
CHEMBL3121777,C#CCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,Active
CHEMBL3121781,C#CCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,Active
CHEMBL3121782,C#CCCCOc1ccc2ccc(=O)oc2c1,Active
CHEMBL3121774,C#CCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,Active
CHEMBL8663,C#CCN(C)C(C)Cc1ccccc1,Active
CHEMBL3415788,C#CCN(C)CC(=C)CCc1ccccc1,Active
CHEMBL3415789,C#CCN(C)CC(=C)Cc1ccc(F)c(F)c1,Active
CHEMBL3415795,C#CCN(C)CC(=C)c1ccc(Br)cc1,Active
CHEMBL3415815,C#CCN(C)CC(=C)c1ccc(C)c(C)c1,Active
CHEMBL3415616,C#CCN(C)CC(=C)c1ccc(CNc2ccccc2)cc1,Active
CHEMBL3415614,C#CCN(C)CC(=C)c1ccc(COc2ccccc2)cc1,Active
CHEMBL3415819,C#CCN(C)CC(=C)c1ccc(Cl)c(C)c1,Active
CHEMBL3415817,C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1,Active
CHEMBL3415793,C#CCN(C)CC(=C)c1ccc(Cl)cc1,Active
CHEMBL3415818,C#CCN(C)CC(=C)c1ccc(F)c(C)c1,Active
