chembl_id_ligand,smiles,activity_type
CHEMBL3891068,Brc1cc(Br)n2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12,Active
CHEMBL3980345,Brc1cc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn2c1,Active
CHEMBL388046,Brc1ccc(C[N+]23CC[C@H]4[C@@H]2C[C@H]2C(=CCO[C@@H]5[C@H]2[C@@H]4N(c2ccccc2)[C@@H]2OCC=C4C[N+]6(Cc7ccc(Br)cc7)CC[C@]78c9ccccc9N5[C@H]7[C@H]2[C@H]4C[C@@H]86)C3)cc1,Active
CHEMBL3951684,Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)nccn12,Active
CHEMBL3897030,Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,Active
CHEMBL3910223,Brc1ccn2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12,Active
CHEMBL4225157,C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,Active
CHEMBL451442,C(#Cc1cc(C#CCCC[n+]2cccc(-c3ccccc3)c2)c(C#CCCC[n+]2cccc(-c3ccccc3)c2)cc1C#CCCC[n+]1cccc(-c2ccccc2)c1)CCC[n+]1cccc(-c2ccccc2)c1,Active
CHEMBL4281312,C(=C/c1ccc(OCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1,Active
CHEMBL4291927,C(=C/c1ccc(OCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1,Active
CHEMBL4277852,C(=C/c1ccc(OCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1,Active
CHEMBL4288118,C(=C/c1ccc(OCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1,Active
CHEMBL230952,C/C=C/C[N+]12CC[C@H]3[C@@H]1C[C@H]1C(=CCO[C@@H]4[C@H]1[C@@H]3N(c1ccccc1)[C@@H]1OCC=C3C[N+]5(C/C=C/C)CC[C@]67c8ccccc8N4[C@H]6[C@H]1[C@H]3C[C@@H]75)C2,Active
CHEMBL2177529,C1=C(c2ccc(-c3ccccc3)nc2)CC2CNCC1C2,Active
CHEMBL2177536,C1=C(c2cccnc2)CC2CNCC1C2,Active
CHEMBL2177537,C1=C(c2cccnc2)C[C@@H]2CNC[C@H]1C2,Active
CHEMBL2177538,C1=C(c2cccnc2)C[C@H]2CNC[C@@H]1C2,Active
CHEMBL2177547,C1=C(c2cncc(OCc3ccccc3)c2)CC2CNCC1C2,Active
CHEMBL2177545,C1=C(c2cncc(Oc3ccccc3)c2)CC2CNCC1C2,Active
CHEMBL2177517,C1=C(c2cnccn2)CC2CNCC1C2,Active
CHEMBL2177518,C1=C(c2cncnc2)CC2CNCC1C2,Active
CHEMBL388212,C1=C2CN3CC[C@]45c6ccccc6N6[C@H]4[C@@H]([C@H]2C[C@H]35)[C@@H](OC1)N(c1ccccc1)[C@@H]1[C@H]2CCN3CC4=CCO[C@@H]6[C@@H]1[C@H]4C[C@@H]23,Active
CHEMBL388047,C1=C2C[N+]3(Cc4ccc5ccccc5c4)CC[C@]45c6ccccc6N6[C@H]4[C@@H]([C@H]2C[C@@H]53)[C@@H](OC1)N(c1ccccc1)[C@@H]1[C@H]2CC[N+]3(Cc4ccc5ccccc5c4)CC4=CCO[C@@H]6[C@@H]1[C@H]4C[C@@H]23,Active
