molecule_chembl_id,pchembl_value,relation,type,units,value
CHEMBL322970,6.42,=,IC50,uM,0.38
CHEMBL322970,4.34,=,EC50,uM,45.6
CHEMBL322970,4.51,=,EC50,uM,30.62
CHEMBL322970,,=,Fold stimulation,,1.3
CHEMBL112564,5.16,=,IC50,uM,6.92
CHEMBL321421,6.39,=,IC50,uM,0.41
CHEMBL388978,6.80,=,IC50,uM,0.16
CHEMBL114582,,>,IC50,uM,250.0
CHEMBL316065,,=,Activity,%,72.0
CHEMBL115875,5.02,=,IC50,uM,9.6
CHEMBL113447,,>,IC50,uM,250.0
CHEMBL325353,7.00,=,IC50,uM,0.1
CHEMBL325353,5.54,=,EC50,uM,2.85
CHEMBL325353,5.34,=,EC50,uM,4.54
CHEMBL325353,,=,Fold stimulation,,3.1
CHEMBL113168,5.94,=,IC50,uM,1.16
CHEMBL113168,4.72,=,EC50,uM,19.07
CHEMBL113168,4.24,=,EC50,uM,57.53
CHEMBL113168,,=,Fold stimulation,,2.2
CHEMBL112483,5.03,=,IC50,uM,9.3
CHEMBL323944,6.62,=,IC50,uM,0.24
CHEMBL93281,,=,Activity,%,99.0
CHEMBL113272,7.00,=,IC50,uM,0.1
CHEMBL112819,5.68,=,IC50,uM,2.1
CHEMBL111895,4.77,=,IC50,uM,17.0
CHEMBL92082,,=,Activity,%,101.0
CHEMBL323012,4.93,=,IC50,uM,11.7
CHEMBL326705,6.55,=,IC50,uM,0.28
CHEMBL326705,5.73,=,EC50,uM,1.85
CHEMBL326705,4.96,=,EC50,uM,11.05
CHEMBL326705,,=,Fold stimulation,,3.2
CHEMBL111298,8.40,=,IC50,uM,0.004
CHEMBL326688,6.85,=,IC50,uM,0.14
CHEMBL325817,7.85,=,IC50,uM,0.014
CHEMBL326208,7.85,=,IC50,uM,0.014
CHEMBL333829,7.51,=,IC50,uM,0.031
CHEMBL111005,8.22,=,IC50,uM,0.006
CHEMBL324268,7.43,=,IC50,uM,0.037
CHEMBL110000,7.19,=,IC50,uM,0.065
CHEMBL109977,8.10,=,IC50,uM,0.008
CHEMBL109834,7.82,=,IC50,uM,0.015
CHEMBL423323,7.70,=,IC50,uM,0.02
CHEMBL111620,7.58,=,IC50,uM,0.026
CHEMBL111620,,=,Activity,%,3.0
CHEMBL111620,6.21,=,EC50,uM,0.62
CHEMBL326971,8.00,=,IC50,uM,0.01
CHEMBL109944,7.35,=,IC50,uM,0.045
CHEMBL109944,,=,Activity,%,1.0
CHEMBL109944,6.41,=,EC50,uM,0.39
CHEMBL450340,6.32,=,IC50,uM,0.48
CHEMBL69710,,>,EC50,uM,3000.0
CHEMBL430694,7.51,=,IC50,uM,0.031
CHEMBL102714,6.70,=,EC50,uM,0.2
CHEMBL109981,8.15,=,IC50,uM,0.007
CHEMBL109981,,=,Activity,%,0.0
CHEMBL109981,7.40,=,EC50,uM,0.04
CHEMBL303879,,<,pIC50,,4.5
CHEMBL302490,7.40,=,pIC50,,7.4
CHEMBL69757,8.10,=,pIC50,,8.1
CHEMBL304172,7.90,=,pIC50,,7.9
CHEMBL306865,8.20,=,pIC50,,8.2
CHEMBL67374,7.80,=,pIC50,,7.8
CHEMBL66780,,<,pIC50,,5.0
CHEMBL67241,5.40,=,pIC50,,5.4
CHEMBL410319,6.20,=,pIC50,,6.2
CHEMBL65884,8.10,=,pIC50,,8.1
CHEMBL67733,6.80,=,pIC50,,6.8
CHEMBL67855,,<,pIC50,,4.6
CHEMBL294595,5.60,=,pIC50,,5.6
CHEMBL63915,8.30,=,pIC50,,8.3
CHEMBL66543,7.80,=,pIC50,,7.8
CHEMBL63414,7.50,=,pIC50,,7.5
CHEMBL68944,,<,pIC50,,4.5
CHEMBL66900,7.90,=,pIC50,,7.9
CHEMBL308455,8.00,=,pIC50,,8.0
CHEMBL63595,5.60,=,pIC50,,5.6
CHEMBL66292,8.60,=,pIC50,,8.6
CHEMBL309152,8.30,=,pIC50,,8.3
CHEMBL308454,8.50,=,pIC50,,8.5
CHEMBL303433,7.80,=,pIC50,,7.8
CHEMBL68063,,<,pIC50,,5.0
CHEMBL63728,5.60,=,pIC50,,5.6
CHEMBL65945,,<,pIC50,,5.0
CHEMBL63348,6.80,=,pIC50,,6.8
CHEMBL66003,,<,pIC50,,5.0
CHEMBL294592,6.80,=,pIC50,,6.8
CHEMBL68242,6.00,=,pIC50,,6.0
CHEMBL66510,7.00,=,pIC50,,7.0
CHEMBL307311,6.90,=,pIC50,,6.9
CHEMBL291425,6.80,=,pIC50,,6.8
CHEMBL67310,6.60,=,pIC50,,6.6
CHEMBL65538,,<,pIC50,,4.5
CHEMBL302048,7.50,=,pIC50,,7.5
CHEMBL68450,8.00,=,pIC50,,8.0
CHEMBL63727,7.00,=,pIC50,,7.0
CHEMBL69588,8.00,=,pIC50,,8.0
CHEMBL67799,7.80,=,pIC50,,7.8
CHEMBL303321,8.20,=,pIC50,,8.2
CHEMBL68397,7.40,=,pIC50,,7.4
CHEMBL69526,5.70,=,pIC50,,5.7
