molecule_chembl_id,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,359.0308981,6,3,2.4334,inactive
CHEMBL112564,CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N,353.14610410000006,11,2,0.14119999999999966,inactive
CHEMBL321421,CCN(CC)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N,384.1770698800001,11,2,0.23320000000000085,inactive
CHEMBL115875,NNC(=O)c1nnn(-c2nonc2N)c1CN1CCCCC1,307.15052078400004,10,3,-1.1781000000000004,inactive
CHEMBL113168,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCCC1,397.19747097600003,10,2,0.5858999999999996,inactive
CHEMBL112483,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,383.18182091200003,10,2,0.5433999999999997,inactive
CHEMBL112819,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCC1,383.18182091200003,10,2,0.19579999999999975,inactive
CHEMBL111895,CCN(CC)Cc1c(C(=O)NN)nnn1-c1nonc1N,295.15052078400004,10,3,-1.3221999999999978,inactive
CHEMBL323012,CCN(CC)Cc1c(C(=O)NCCc2ccncc2)nnn1-c1nonc1N,385.1974709760001,10,2,0.44180000000000097,inactive
CHEMBL111298,COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O,377.137556088,6,2,1.9944999999999993,active
CHEMBL325817,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1C(F)(F)F,415.114376032,5,2,3.0047000000000006,active
CHEMBL326208,COc1ccccc1C1=C(c2cn(CCCNS(C)(=O)=O)c3ncccc23)C(=O)NC1=O,454.13109080399994,7,2,1.5513999999999997,active
CHEMBL111005,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccc(F)cc1Cl,399.07859724,5,2,2.7784000000000004,active
CHEMBL109977,COc1ccccc1C1=C(c2cn(CCCNC=O)c3ncccc23)C(=O)NC1=O,404.14845512,6,2,1.7481999999999995,active
