chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL4553214,CC(=O)N1CCC(C(=O)N2N=CCC2c2ccccc2)CC1,299.163376912,3,0,2.2043,Active
CHEMBL4474320,CC(=O)N1CCC(C(=O)N2N=CC[C@H]2c2ccccc2)CC1,299.163376912,3,0,2.2043,Active
CHEMBL4068954,CC(=O)Nc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Cc3ccccc3)on1)CO2,434.15901980399997,6,2,2.3776,Active
CHEMBL3109206,CC(=O)c1cccc(NC(=O)Nc2cccc(-c3c[nH]c4ncc(-c5ccccc5)cc34)c2)c1,446.174275944,3,3,6.7435000000000045,Active
CHEMBL4467752,CC(C)(C)C(=O)N1N=CCC1C1CCCC1,222.173213324,2,0,2.809400000000001,Active
CHEMBL4590117,CC(C)(C)C(=O)N1N=CCC1C1CCCCC1,236.188863388,2,0,3.1995000000000022,Active
CHEMBL4472572,CC(C)(C)C(=O)N1N=CCC1C1CCOCC1,238.168127944,3,0,2.0458,Active
CHEMBL4446928,CC(C)(C)C(=O)N1N=CCC1c1c[nH]cn1,220.132411132,3,1,1.7149999999999999,Active
CHEMBL4593226,CC(C)(C)C(=O)N1N=CCC1c1cc(F)cc(F)c1,266.123069572,2,0,3.270100000000002,Active
CHEMBL4446758,CC(C)(C)C(=O)N1N=CCC1c1cc[nH]n1,220.132411132,3,1,1.7149999999999999,Active
CHEMBL4533161,CC(C)(C)C(=O)N1N=CCC1c1ccc(C(C)(C)C)cc1,286.20451345199996,2,0,4.289400000000004,Active
CHEMBL4576386,CC(C)(C)C(=O)N1N=CCC1c1ccc(Cl)cc1,264.102940844,2,0,3.6453000000000024,Active
CHEMBL4436896,CC(C)(C)C(=O)N1N=CCC1c1ccc(S(C)(=O)=O)cc1,308.1194635,4,0,2.3954000000000004,Active
CHEMBL4556131,CC(C)(C)C(=O)N1N=CCC1c1cccc(Cl)c1,264.102940844,2,0,3.6453000000000024,Active
CHEMBL4537171,CC(C)(C)C(=O)N1N=CCC1c1cccc(F)c1,248.132491384,2,0,3.131000000000002,Active
CHEMBL4446915,CC(C)(C)C(=O)N1N=CCC1c1ccccc1,230.141913196,2,0,2.991900000000002,Active
CHEMBL4544356,CC(C)(C)C(=O)N1N=CCC1c1ccccn1,231.137162164,3,0,2.3869000000000007,Active
CHEMBL4446523,CC(C)(C)C(=O)N1N=CCC1c1cccnc1,231.137162164,3,0,2.3869000000000007,Active
CHEMBL4448908,CC(C)(C)C(=O)N1N=CCC1c1ccncc1,231.137162164,3,0,2.3869000000000007,Active
CHEMBL4440532,CC(C)(C)C(=O)N1N=CCC1c1cocn1,221.11642672,4,0,1.9799,Active
CHEMBL4521353,CC(C)(C)C(=O)N1N=CC[C@H]1c1ccccc1,230.141913196,2,0,2.991900000000002,Active
CHEMBL3109202,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c(N)nccc34)cc2)no1,401.18517497600004,5,3,5.4135000000000035,Active
CHEMBL3109221,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)no1,392.1596885,7,3,4.401500000000002,Active
CHEMBL4437098,CC(C)(CN)C(=O)N1N=CCC1c1ccccc1,245.152812228,3,1,1.9306999999999999,Active
CHEMBL4451628,CC(C)(CO)C(=O)N1N=CCC1c1ccccc1,246.136827816,3,1,1.9643,Active
CHEMBL4519627,CC(C)C(=O)N1N=CCC1c1ccccc1,216.126263132,2,0,2.601800000000001,Active
CHEMBL4469781,CC(C)S(=O)(=O)c1ccc2nccc(Nc3ccc4ncsc4c3)c2c1,383.07621878400005,6,1,4.7702000000000035,Active
CHEMBL4292454,CC(C)n1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(OC(F)(F)F)c2)c2c(N)ncnc21,495.188209668,6,1,5.291800000000004,Active
CHEMBL4526661,CCC(=O)N1CCC(C(=O)N2N=CCC2c2ccccc2)CC1,313.179026976,3,0,2.5944000000000003,Active
CHEMBL4085167,CCC(C)(C)C(=O)N(C)Cc1cc(F)cc(F)c1F,273.134048856,1,0,3.4985000000000026,Active
CHEMBL4092421,CCC(C)(C)C(=O)N(O)Cc1ccccc1,221.141578848,2,1,2.840600000000001,Active
CHEMBL3109219,CCc1cccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)c1,373.15387484800004,5,3,4.678400000000002,Active
CHEMBL4281823,CCn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(OC(F)(F)F)c2)c2c(N)ncnc21,481.172559604,6,1,4.730800000000003,Active
CHEMBL4073321,CN(C)C(=O)c1ccc2c(c1)OC[C@H](N1CCc3c(nn(Cc4ccccc4)c3Cl)C1=O)C(=O)N2C,507.16733199199996,6,0,2.7089000000000008,Active
CHEMBL370438,CN1C(=O)N[C@H](Cc2c[nH]c3c(Cl)cccc23)C1=O,277.06180430399996,2,2,1.914,Active
CHEMBL4084681,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3C#N)C2=O)COc2ccccc21,427.164439532,6,0,2.2253799999999995,Active
CHEMBL4102622,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3C(N)=O)C2=O)COc2ccccc21,445.175004216,6,1,1.4525999999999997,Active
CHEMBL4100398,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Cl)C2=O)COc2cc(C#N)ccc21,461.12546717999993,6,0,2.878780000000001,Active
CHEMBL4061975,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Cl)C2=O)COc2ccc(C#N)cc21,461.12546717999993,6,0,2.878780000000001,Active
