chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL2348962,Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,388.94044935600004,7,0,4.161500000000002,Active
CHEMBL3929926,Brc1cncc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,359.03817216799996,5,1,2.6190000000000007,Active
CHEMBL3952812,CC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)CC1,402.19165732400006,7,1,2.0888999999999998,Active
CHEMBL3968954,CC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,380.19607400800004,6,1,2.4756,Active
CHEMBL2403377,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C#N)cc43)cc2C1,332.127325752,3,2,2.2836800000000004,Active
CHEMBL2403375,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(OC(C)C)cc43)cc2C1,365.173941596,3,2,3.199200000000002,Active
CHEMBL1983111,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,474.19910870000007,6,3,4.057700000000002,Active
CHEMBL3655549,CC(=O)Nc1ccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)cc1,429.180089596,6,2,4.203100000000002,Active
CHEMBL3655547,CC(=O)Nc1ccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)cn1,430.175338564,7,2,3.5981000000000014,Active
CHEMBL2403374,CC(=O)Nc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2,435.19065428,4,3,2.2760999999999996,Active
CHEMBL3655548,CC(=O)Nc1cccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)c1,429.180089596,6,2,4.203100000000002,Active
CHEMBL2348966,CC(C)(C)c1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,367.09253754400004,7,0,4.696500000000004,Active
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,309.127740352,2,2,3.994200000000002,Active
CHEMBL4562534,CC(C)(O)C1CN(c2cc(-n3ncc4ccc(C5(C#N)CC6(CC6)C5)cc43)ncn2)C1,414.21680945200006,7,1,3.357980000000002,Active
CHEMBL4592487,CC(C)(O)Cn1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1,357.180089596,7,2,2.1501,Active
CHEMBL4553532,CC(C)(O)[C@@H]1CCN(c2cc(-n3ncc4ccc(C5(C#N)CC6(CC6)C5)cc43)ncn2)C1,428.23245951600006,7,1,3.7480800000000025,Active
CHEMBL3978210,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCN(S(C)(=O)=O)CC4)ncn3)c2c1,412.168145008,6,1,2.524700000000001,Active
CHEMBL3894116,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2c1,335.17461029200007,5,1,3.279700000000002,Active
CHEMBL4114714,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCO[C@H](C)C4)ncn3)c2c1,349.19026035600007,5,1,3.6682000000000023,Active
CHEMBL3890072,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4C[C@H](C)O[C@H](C)C4)ncn3)c2c1,363.20591042000007,5,1,4.056700000000003,Active
CHEMBL1980763,CC(C)Cc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2[nH]ccc12,385.16693806800004,5,2,4.390000000000003,Active
CHEMBL4561299,CC(C)Cn1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1,341.18517497600004,6,1,3.0352000000000015,Active
CHEMBL3943811,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5ccn[nH]5)cc34)ncn2)CC1,388.2123927680001,6,2,2.9404000000000003,Active
CHEMBL3967800,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5ccoc5)cc34)ncn2)CC1,388.201159388,6,1,3.8103000000000016,Active
CHEMBL3915861,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cn[nH]c5)cc34)ncn2)CC1,388.21239276800003,6,2,2.9404000000000012,Active
CHEMBL3902701,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)CC1,402.228042832,7,1,2.950800000000001,Active
CHEMBL3955983,CC(C)NC(=O)CN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,437.25392323200003,7,2,2.4536999999999995,Active
CHEMBL2347805,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N(C)C)cc3)ccc12,394.14634694399996,5,1,3.8440800000000026,Active
CHEMBL2347804,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCCC4)cc3)ccc12,420.16199700799996,5,1,4.378280000000003,Active
CHEMBL2347826,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)ccc12,436.15691162799993,6,1,3.6146800000000026,Active
CHEMBL2347823,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,365.11979784799996,5,1,3.9972800000000026,Active
CHEMBL2347824,CC(C)Nc1c(C#N)cnc2cc(-c3cnn(C)c3)ccc12,291.148395544,5,1,3.327280000000002,Active
CHEMBL2333126,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,384.12561149999993,6,2,2.6195000000000004,Active
CHEMBL2333112,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12,307.143310164,5,2,2.6109999999999998,Active
CHEMBL2333116,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cn[nH]c3)ccc12,296.13855913199995,5,3,1.9390999999999994,Active
CHEMBL2333118,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnn(C)c3)ccc12,310.15420919599995,6,2,1.9494999999999993,Active
CHEMBL2333121,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnsc3)ccc12,313.09973110000004,6,2,2.6725000000000003,Active
CHEMBL2333120,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCOCC3)ccc12,315.16952491200004,6,2,1.3855999999999995,Active
CHEMBL2333114,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3ccncc3)cc12,307.143310164,5,2,2.6109999999999998,Active
CHEMBL2333115,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cn[nH]c3)cc12,296.13855913199995,5,3,1.9390999999999994,Active
CHEMBL3968354,CC(C)Oc1cc2c(-c3cc(N4C5CCC4COC5)ncn3)n[nH]c2cc1F,383.17575316400007,6,1,3.3138000000000014,Active
CHEMBL3931097,CC(C)Oc1cc2c(-c3cc(N4CC5CCC(C4)O5)ncn3)n[nH]c2cc1F,383.17575316400007,6,1,3.3138000000000014,Active
CHEMBL3939844,CC(C)Oc1cc2c(-c3cc(N4CCC(F)(C#N)CC4)ncn3)n[nH]c2cc1F,398.16666570000007,6,1,3.7782800000000023,Active
CHEMBL3958420,CC(C)Oc1cc2c(-c3cc(N4CCC(F)(CO)CC4)ncn3)n[nH]c2cc1F,403.18198141600016,6,2,3.2470000000000008,Active
CHEMBL3975329,CC(C)Oc1cc2c(-c3cc(N4CCC(F)(F)C4)ncn3)n[nH]c2cc1F,377.14634485600004,5,1,3.7916000000000016,Active
CHEMBL3973695,CC(C)Oc1cc2c(-c3cc(N4CCC(n5cccn5)C4)ncn3)n[nH]c2cc1F,407.1869865440001,7,1,3.594100000000002,Active
CHEMBL3902480,CC(C)Oc1cc2c(-c3cc(N4CCN(C(=O)C5CC5)CC4)ncn3)n[nH]c2cc1F,424.2023022600001,6,1,3.0048000000000004,Active
CHEMBL3928726,CC(C)Oc1cc2c(-c3cc(N4CCN(C(C)C)C(=O)C4)ncn3)n[nH]c2cc1F,412.2023022600001,6,1,3.0032000000000005,Active
CHEMBL3906191,CC(C)Oc1cc2c(-c3cc(N4CCN(C)C(=O)C4)ncn3)n[nH]c2cc1F,384.17100213200007,6,1,2.2245999999999997,Active
CHEMBL3960371,CC(C)Oc1cc2c(-c3cc(N4CCN(C)CC4)ncn3)n[nH]c2cc1F,370.1917375760001,6,1,2.6980000000000004,Active
CHEMBL3921084,CC(C)Oc1cc2c(-c3cc(N4CCN(C)[C@@H](C)C4)ncn3)n[nH]c2cc1F,384.2073876400001,6,1,3.086500000000001,Active
CHEMBL4113352,CC(C)Oc1cc2c(-c3cc(N4CCN(C)[C@H](C)C4)ncn3)n[nH]c2cc1F,384.2073876400001,6,1,3.086500000000001,Active
CHEMBL3977672,CC(C)Oc1cc2c(-c3cc(N4CCN(C5CC5)CC4)ncn3)n[nH]c2cc1F,396.2073876400001,6,1,3.2306000000000017,Active
CHEMBL3919113,CC(C)Oc1cc2c(-c3cc(N4CCN(C5CCS(=O)(=O)C5)CC4)ncn3)n[nH]c2cc1F,474.18493794400007,8,1,2.2553,Active
CHEMBL3926035,CC(C)Oc1cc2c(-c3cc(N4CCN(CCCO)CC4)ncn3)n[nH]c2cc1F,414.2179523240001,7,2,2.4505999999999997,Active
CHEMBL3929129,CC(C)Oc1cc2c(-c3cc(N4CCN(CCO)CC4)ncn3)n[nH]c2cc1F,400.2023022600001,7,2,2.0604999999999993,Active
CHEMBL3967326,CC(C)Oc1cc2c(-c3cc(N4CCN(S(=O)(=O)C5CC5)CC4)ncn3)n[nH]c2cc1F,460.1692878800001,7,1,2.5604000000000005,Active
CHEMBL3904862,CC(C)Oc1cc2c(-c3cc(N4CCN(S(C)(=O)=O)CC4)ncn3)n[nH]c2cc1F,434.1536378160001,7,1,2.0277999999999996,Active
CHEMBL3919519,CC(C)Oc1cc2c(-c3cc(N4CCN(c5cnn(C)c5)CC4)ncn3)n[nH]c2cc1F,436.21353564000015,8,1,3.0063000000000004,Active
CHEMBL3959858,CC(C)Oc1cc2c(-c3cc(N4CCNC(=O)C4)ncn3)n[nH]c2cc1F,370.15535206800007,6,2,1.8823999999999999,Active
CHEMBL3946914,CC(C)Oc1cc2c(-c3cc(N4CCOC(C(F)(F)F)C4)ncn3)n[nH]c2cc1F,425.14748772800016,6,1,3.713700000000002,Active
CHEMBL3911871,CC(C)Oc1cc2c(-c3cc(N4CCOC(C)(C)C4)ncn3)n[nH]c2cc1F,385.19140322800007,6,1,3.5614000000000017,Active
CHEMBL3935320,CC(C)Oc1cc2c(-c3cc(N4CCOCC4)ncn3)n[nH]c2cc1F,357.1601031,6,1,2.7828,Active
CHEMBL3901271,CC(C)Oc1cc2c(-c3cc(N4CCOCC4C)ncn3)n[nH]c2cc1F,371.17575316400007,6,1,3.1713000000000013,Active
CHEMBL3933109,CC(C)Oc1cc2c(-c3cc(N4CCO[C@@H](C)C4)ncn3)n[nH]c2cc1F,371.17575316400007,6,1,3.1713000000000013,Active
CHEMBL4113861,CC(C)Oc1cc2c(-c3cc(N4CCO[C@H](C)C4)ncn3)n[nH]c2cc1F,371.17575316400007,6,1,3.1713000000000013,Active
CHEMBL3930912,CC(C)Oc1cc2c(-c3cc(N4CCS(=O)(=O)CC4)ncn3)n[nH]c2cc1F,405.1270887200001,7,1,2.181,Active
