chembl_id_ligand,smiles,activity_type
CHEMBL2348962,Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,Active
CHEMBL3929926,Brc1cncc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,Active
CHEMBL3952812,CC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)CC1,Active
CHEMBL3968954,CC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,Active
CHEMBL2403377,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C#N)cc43)cc2C1,Active
CHEMBL2403375,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(OC(C)C)cc43)cc2C1,Active
CHEMBL1983111,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,Active
CHEMBL3655549,CC(=O)Nc1ccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)cc1,Active
CHEMBL3655547,CC(=O)Nc1ccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)cn1,Active
CHEMBL2403374,CC(=O)Nc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2,Active
CHEMBL3655548,CC(=O)Nc1cccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)c1,Active
CHEMBL2348966,CC(C)(C)c1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,Active
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,Active
CHEMBL4562534,CC(C)(O)C1CN(c2cc(-n3ncc4ccc(C5(C#N)CC6(CC6)C5)cc43)ncn2)C1,Active
CHEMBL4592487,CC(C)(O)Cn1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1,Active
CHEMBL4553532,CC(C)(O)[C@@H]1CCN(c2cc(-n3ncc4ccc(C5(C#N)CC6(CC6)C5)cc43)ncn2)C1,Active
CHEMBL3978210,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCN(S(C)(=O)=O)CC4)ncn3)c2c1,Active
CHEMBL3894116,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2c1,Active
CHEMBL4114714,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCO[C@H](C)C4)ncn3)c2c1,Active
CHEMBL3890072,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4C[C@H](C)O[C@H](C)C4)ncn3)c2c1,Active
CHEMBL1980763,CC(C)Cc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2[nH]ccc12,Active
CHEMBL4561299,CC(C)Cn1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1,Active
CHEMBL3943811,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5ccn[nH]5)cc34)ncn2)CC1,Active
CHEMBL3967800,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5ccoc5)cc34)ncn2)CC1,Active
CHEMBL3915861,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cn[nH]c5)cc34)ncn2)CC1,Active
CHEMBL3902701,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)CC1,Active
CHEMBL3955983,CC(C)NC(=O)CN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,Active
CHEMBL2347805,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N(C)C)cc3)ccc12,Active
CHEMBL2347804,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCCC4)cc3)ccc12,Active
CHEMBL2347826,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)ccc12,Active
CHEMBL2347823,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,Active
CHEMBL2347824,CC(C)Nc1c(C#N)cnc2cc(-c3cnn(C)c3)ccc12,Active
CHEMBL2333126,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,Active
CHEMBL2333112,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12,Active
CHEMBL2333116,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cn[nH]c3)ccc12,Active
CHEMBL2333118,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnn(C)c3)ccc12,Active
CHEMBL2333121,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnsc3)ccc12,Active
CHEMBL2333120,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCOCC3)ccc12,Active
CHEMBL2333114,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3ccncc3)cc12,Active
CHEMBL2333115,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cn[nH]c3)cc12,Active
CHEMBL3968354,CC(C)Oc1cc2c(-c3cc(N4C5CCC4COC5)ncn3)n[nH]c2cc1F,Active
CHEMBL3931097,CC(C)Oc1cc2c(-c3cc(N4CC5CCC(C4)O5)ncn3)n[nH]c2cc1F,Active
CHEMBL3939844,CC(C)Oc1cc2c(-c3cc(N4CCC(F)(C#N)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3958420,CC(C)Oc1cc2c(-c3cc(N4CCC(F)(CO)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3975329,CC(C)Oc1cc2c(-c3cc(N4CCC(F)(F)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3973695,CC(C)Oc1cc2c(-c3cc(N4CCC(n5cccn5)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3902480,CC(C)Oc1cc2c(-c3cc(N4CCN(C(=O)C5CC5)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3928726,CC(C)Oc1cc2c(-c3cc(N4CCN(C(C)C)C(=O)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3906191,CC(C)Oc1cc2c(-c3cc(N4CCN(C)C(=O)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3960371,CC(C)Oc1cc2c(-c3cc(N4CCN(C)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3921084,CC(C)Oc1cc2c(-c3cc(N4CCN(C)[C@@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL4113352,CC(C)Oc1cc2c(-c3cc(N4CCN(C)[C@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3977672,CC(C)Oc1cc2c(-c3cc(N4CCN(C5CC5)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3919113,CC(C)Oc1cc2c(-c3cc(N4CCN(C5CCS(=O)(=O)C5)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3926035,CC(C)Oc1cc2c(-c3cc(N4CCN(CCCO)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3929129,CC(C)Oc1cc2c(-c3cc(N4CCN(CCO)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3967326,CC(C)Oc1cc2c(-c3cc(N4CCN(S(=O)(=O)C5CC5)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3904862,CC(C)Oc1cc2c(-c3cc(N4CCN(S(C)(=O)=O)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3919519,CC(C)Oc1cc2c(-c3cc(N4CCN(c5cnn(C)c5)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3959858,CC(C)Oc1cc2c(-c3cc(N4CCNC(=O)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3946914,CC(C)Oc1cc2c(-c3cc(N4CCOC(C(F)(F)F)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3911871,CC(C)Oc1cc2c(-c3cc(N4CCOC(C)(C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3935320,CC(C)Oc1cc2c(-c3cc(N4CCOCC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3901271,CC(C)Oc1cc2c(-c3cc(N4CCOCC4C)ncn3)n[nH]c2cc1F,Active
CHEMBL3933109,CC(C)Oc1cc2c(-c3cc(N4CCO[C@@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL4113861,CC(C)Oc1cc2c(-c3cc(N4CCO[C@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3930912,CC(C)Oc1cc2c(-c3cc(N4CCS(=O)(=O)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL4106457,CC(C)Oc1cc2c(-c3cc(N4CC[C@@H](CO)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL4108580,CC(C)Oc1cc2c(-c3cc(N4CC[C@@H](N)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3904489,CC(C)Oc1cc2c(-c3cc(N4CC[C@H](CO)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3986785,CC(C)Oc1cc2c(-c3cc(N4CC[C@H](N(C)C)C4)ncn3)n[nH]c2cc1F,Active
