"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4779999","Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4526428","Brc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4741398","Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL3116301","Brc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3892118","C#CCN(CCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3961103","C#CCN(CCCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3901082","C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)C1CCN(Cc2ccccc2)CC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3972214","C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CC1CCN(Cc2ccccc2)CC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3910142","C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3931599","C#CCN(Cc1ccc2cccc(O)c2n1)CC1CCN(Cc2ccccc2)CC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3918754","C#CCN1CCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3960783","C#CCN1CCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3971906","C#CCN1CCCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)C1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3900751","C#CCN1CCCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)C1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4212275","C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4542112","C#CCOc1ccc(/C=N/Nc2c3c(nc4ccccc24)CCCC3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1761999","C(=C\C[n+]1cccc2ccccc21)\C[n+]1cccc2ccccc21","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4445026","C(=N/Nc1c2c(nc3ccccc13)CCCC2)\c1ccc(OCc2cn(-c3ccccc3)nn2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4466829","C(=N/Nc1c2c(nc3ccccc13)CCCC2)\c1ccc(OCc2cn(Cc3ccccc3)nn2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL2414862","C/C(=N\NC(=O)Nc1ccncc1)c1ccc(O)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL504924","C/C=C(\C)C(=O)N[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)NC)CC[C@H]4[C@@H]3CC[C@H]2[C@H]1OC(C)=O","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL210453","C/C=C1\C2C=C(C)C[C@]1(C(=O)OC)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL382423","C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL208092","C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2(C)C","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1255901","C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4217666","C=CCCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL507174","C=CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL307721","C=CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3N(C)[C@@H]12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4556651","C=CCNC(=S)NNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4212713","C=CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL464538","C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL451277","CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL501587","CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCSc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL175949","CC(=O)N(CCCCSc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL180581","CC(=O)N(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2ccccc2nc2ccccc12","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL179192","CC(=O)N(CCCNc1c2c(nc3ccccc13)CCCC2)CCCSc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1413473","CC(=O)NC1=NN(C(C)=O)C(C)(c2ccccc2)S1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642056","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642057","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCCCNc3c4c(nc5ccc(Cl)cc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642053","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642055","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642054","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCNc3c4c(nc5ccc(Cl)cc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642052","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642049","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642043","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642050","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCNc3c4c(nc5ccc(Cl)cc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642040","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642042","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642048","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642047","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642046","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642044","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642051","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCNc3c4c(nc5ccc(Cl)cc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642041","CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4464964","CC(=O)N[C@@H](Cn1cc(-c2ccccc2)nn1)C(=O)NCC1CCN(Cc2ccccc2)CC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4758531","CC(=O)Nc1cc(-c2nc(OCC3CC3)c(C(=O)NCCCNc3c4c(nc5ccccc35)CCCC4)s2)ccn1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL583294","CC(=O)Nc1nc(Cl)c2c(ncn2[C@@H]2O[C@@H]([C@@H](N=[N+]=[N-])C(=O)OCc3ccccc3)[C@@H](OCc3ccccc3)[C@@]3(OCc4ccccc4)[C@@H](OCc4ccccc4)CO[C@@H]23)n1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL572811","CC(=O)Nc1nc(Cl)c2c(ncn2[C@@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@@]3(OCc4ccccc4)[C@@H](OCc4ccccc4)CO[C@@H]23)n1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3642045","CC(=O)O[C@@]12CCN(C(C)=O)[C@@H]1N(C(C)=O)c1ccc(OC(=O)NCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL2159661","CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCCC[n+]2ccc3ccccc3c2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL2159664","CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCCC[n+]2ccccc2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL2159660","CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCC[n+]2ccc3ccccc3c2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL2159662","CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCC[n+]2cccc3ccccc32)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL2159663","CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCC[n+]2ccccc2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL2159659","CC(=O)c1ccccc1NC(=O)c1ccc(OCCCC[n+]2ccc3ccccc3c2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL2159658","CC(=O)c1ccccc1NC(=O)c1ccc(OCCCC[n+]2cccc3ccccc32)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL240045","CC(C(=O)N1c2ccccc2Sc2ccccc21)c1ccccc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL271385","CC(C)(C)C(=O)NCCCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL504571","CC(C)(C)OC(=O)N[C@@H](CCC(=O)NCCNc1c2c(nc3ccccc13)CCCC2)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL508778","CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)Nc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL502244","CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL2147635","CC(C)(C)c1cc(C(C)(C)C)c2c(c1F)COP(=O)(OC[C@H]1O[C@@H](n3cc(I)c(=O)[nH]c3=O)C[C@@H]1F)O2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL2147632","CC(C)(C)c1cc(C(C)(C)C)c2c(c1F)COP(=O)(OC[C@H]1O[C@@H](n3cc(I)c(=O)[nH]c3=O)C[C@@H]1O)O2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL1642988","CC(C)(C)c1cc[n+](/C=C2\C=CC3=CC/C(=C\[n+]4ccc(C(C)(C)C)cc4)C=C3C2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL594629","CC(C)(C)c1cc[n+](CCCCCCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
