"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4553214","CC(=O)N1CCC(C(=O)N2N=CCC2c2ccccc2)CC1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4474320","CC(=O)N1CCC(C(=O)N2N=CC[C@H]2c2ccccc2)CC1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4068954","CC(=O)Nc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Cc3ccccc3)on1)CO2","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL3109206","CC(=O)c1cccc(NC(=O)Nc2cccc(-c3c[nH]c4ncc(-c5ccccc5)cc34)c2)c1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4467752","CC(C)(C)C(=O)N1N=CCC1C1CCCC1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4590117","CC(C)(C)C(=O)N1N=CCC1C1CCCCC1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4472572","CC(C)(C)C(=O)N1N=CCC1C1CCOCC1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4446928","CC(C)(C)C(=O)N1N=CCC1c1c[nH]cn1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4593226","CC(C)(C)C(=O)N1N=CCC1c1cc(F)cc(F)c1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4446758","CC(C)(C)C(=O)N1N=CCC1c1cc[nH]n1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4533161","CC(C)(C)C(=O)N1N=CCC1c1ccc(C(C)(C)C)cc1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4576386","CC(C)(C)C(=O)N1N=CCC1c1ccc(Cl)cc1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4436896","CC(C)(C)C(=O)N1N=CCC1c1ccc(S(C)(=O)=O)cc1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4556131","CC(C)(C)C(=O)N1N=CCC1c1cccc(Cl)c1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4537171","CC(C)(C)C(=O)N1N=CCC1c1cccc(F)c1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4446915","CC(C)(C)C(=O)N1N=CCC1c1ccccc1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4544356","CC(C)(C)C(=O)N1N=CCC1c1ccccn1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4446523","CC(C)(C)C(=O)N1N=CCC1c1cccnc1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4448908","CC(C)(C)C(=O)N1N=CCC1c1ccncc1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4440532","CC(C)(C)C(=O)N1N=CCC1c1cocn1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL4521353","CC(C)(C)C(=O)N1N=CC[C@H]1c1ccccc1","Active"
"Q13546","Receptor-interacting serine/threonine-protein kinase 1","IC50","CHEMBL3109202","CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c(N)nccc34)cc2)no1","Active"
