"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3613609","C#CCOC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3939661","C=CC(NC(=O)c1ccc(-c2cn[nH]c2)c(OC)c1)c1c(F)cccc1F","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1996339","C=CCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4109115","CC(=O)NC[C@@H](NC(=O)c1ccc(-c2cn[nH]c2)c(C)c1)c1ccccc1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3666753","CC(=O)Oc1ccccc1-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL3793243","CC(C)(C)C(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL2005548","CC(C)(C)OC(=O)n1ncc2cc(Nc3c(NCc4ccc(Cl)cc4Cl)c(=O)c3=O)ccc21","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4451007","CC(C)(C)c1cc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)no1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL1084554","CC(C)(C)c1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1968930","CC(C)(CN)CNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1967662","CC(C)(CO)CCCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3338838","CC(C)(N)CNc1nc(-c2ccc3[nH]ncc3c2)nc2cnccc12","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2147538","CC(C)(N)CNc1nc(-c2ccncc2)cc2cnccc12","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3338837","CC(C)(N)CNc1nc(-c2ccncc2)nc2cnccc12","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL2005387","CC(C)(O)CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL3794444","CC(C)C(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1","Active"
