"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"P35222","Catenin beta-1","IC50","CHEMBL1419912","C=CC[C@H]1C=C(Cc2ccccc2)C[C@H](CC=C)N1","Active"
"P35222","Catenin beta-1","IC50","CHEMBL1348572","CCN1C(c2ccccc2)=C(c2ccccc2)S/C1=C/C=C1\SC(=S)N(C)C1=O","Active"
"P35222","Catenin beta-1","Ki","CHEMBL4074243","O=C(Nc1ccc(O[C@H]2CCNC2)c(-c2ccc(F)cc2)c1)c1ccc(O[C@H]2CCNC2)c(-c2ccc(F)c(F)c2)c1","Active"
"P35222","Catenin beta-1","Ki","CHEMBL3589156","O=C(O)CCCn1c2ccccc2c2nc3nonc3nc21","Active"
"P35222","Catenin beta-1","Ki","CHEMBL4548532","O=C(O)CC[C@H](NC(=O)[C@H](Cc1nn[nH]n1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)c1cc2c(Cl)cc(Cl)cc2[nH]1)C(=O)Nc1ccc(OC(F)(F)F)cc1","Active"
"P35222","Catenin beta-1","Ki","CHEMBL4451478","O=C(O)CC[C@H](NC(=O)[C@H](Cc1nn[nH]n1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)Nc1ccc(OC(F)(F)F)cc1","Active"
"P35222","Catenin beta-1","IC50","CHEMBL584225","C=CCC1C=C(Cc2ccccc2)CC(CC=C)N1","Inactive"
"P35222","Catenin beta-1","Ki","CHEMBL3589017","CC(C)CNC(=O)c1nonc1N","Inactive"
"P35222","Catenin beta-1","Ki","CHEMBL4438567","CC(C)C[C@H](NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)Nc1ccccc1","Inactive"
"P35222","Catenin beta-1","IC50","CHEMBL1573754","CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO","Inactive"
"P35222","Catenin beta-1","IC50","CHEMBL1508982","CCN1/C(=C/c2ccc3cc(C)ccc3[n+]2C)Sc2ccc3sccc3c21","Inactive"
"P35222","Catenin beta-1","IC50","CHEMBL1596609","CCN1C(=O)/C(=C/C=C2/Sc3ccccc3N2CCO)SC1=S","Inactive"
"P35222","Catenin beta-1","IC50","CHEMBL1581326","CCOC(=O)/C(=C/C=C1\Sc2cc(OCC)c(OCC)cc2N1CC)C(C)=O","Inactive"
"P35222","Catenin beta-1","Ki","CHEMBL3589025","CCOC(=O)CCCn1c2ccccc2c2nc3nonc3nc21","Inactive"
"P35222","Catenin beta-1","Ki","CHEMBL4460506","CCOC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OCC)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)c1cc2cc(OC)ccc2[nH]1)C(=O)OC","Inactive"
