"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL445599","C=C(C)[C@H](CC=C(C)C)C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4076748","CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL3968533","CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@@H]2CCOC2)C1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL505121","CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4789343","CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)[C@H](O)CCOP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4159164","CC(=O)n1cc(C(=O)Nc2cc(C(=O)O)cc(-c3ccco3)c2)c2ccccc21","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL3775655","CC(C)(C)OC(=O)NCCCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4474132","CC(C)(C)c1ccc(-c2cc(CNCC3CCNCC3)sc2-c2ccc(C(C)(C)C)cc2)cc1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4526489","CC1=NN(c2ccc(-c3nn[nH]n3)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL3734823","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C/c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4436898","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2C(F)(F)F)o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL1797936","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4449504","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])s1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4474848","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cccc3c2C(=O)CC3)o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4452893","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2ccccc2[N+](=O)[O-])o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4449804","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1cnc(-c2cc(C)c(C)cc2[N+](=O)[O-])s1","Active"
"Q09472","Histone acetyltransferase p300","Ki","CHEMBL4208500","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)C1=Cc1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4448489","CC1=NN(c2ccc(P(=O)(O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4515273","CCC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4579084","CCCCC[C@H](O)C/C=C1/C(=O)C=C[C@@H]1C/C=C/CCCC(=O)O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4474031","CCC[C@@H]1CCc2ccccc2CN1C(=O)CN1C(=O)O[C@@]2(CCc3cc(NC(=O)NC)ccc32)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL3416552","CCN(CC)c1ccc2c(C)c(-c3ccc(N4C(=O)C=CC4=O)cc3)c(=O)oc2c1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4794518","CCNC(=O)c1ccc2c(C(=O)[C@H](NC[C@@H](C)c3ccc(C#N)cc3)c3ccccc3)c[nH]c2c1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL3987016","CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4436408","CN(C)C(=O)c1cccc(-c2cn(C)c(=O)c3[nH]ccc23)c1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4097025","CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4582713","CNC(=O)Nc1ccc2c(c1)CC[C@@]21NC(=O)N(CC(=O)N2Cc3cc(F)ccc3OC[C@H]2C2CC2)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4464962","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3cc(F)ccc3OC[C@H]2C(F)(F)F)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4457144","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccc(F)cc3CC[C@H]2C(F)(F)F)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4452911","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccc(F)cc3CC[C@H]2C)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4475351","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccc(F)cc3CC[C@H]2C2CC2)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4593536","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccccc3CC[C@H]2C(C)C)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4449592","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccccc3CC[C@H]2C(F)(F)F)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4524352","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccccc3CC[C@H]2C)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4552724","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccccc3CC[C@H]2C2CC2)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4584269","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccccc3OC[C@H]2C)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4439084","CNC(=O)Nc1ccc2c(c1)CC[C@]21NC(=O)N(CC(=O)N2Cc3cc(F)ccc3OC[C@H]2C(F)(F)F)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4449940","CNC(=O)Nc1ccc2c(c1)CC[C@]21NC(=O)N(CC(=O)N2Cc3cc(F)ccc3OC[C@H]2C2CC2)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4513653","CNC(=O)Nc1ccc2c(c1)CC[C@]21OC(=O)N(CC(=O)N2Cc3ccccc3CC[C@H]2C(F)(F)F)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4472048","CNC(=O)Nc1ccc2c(c1)CC[C@]21OC(=O)N(CC(=O)N2Cc3ccccc3CC[C@H]2C)C1=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4752387","COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cccc(OC)c5c4CCN3C[C@H]2CC[C@H]1O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4457203","COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CCC2","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4573224","COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CCC2","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4759868","COc1cc2c(cc1OC)C1Cc3cc(O)c(O)cc3NC1CC2","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL3622373","COc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2C[C@H](C)N2CCOCC2)cc1Cl","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4163872","COc1ccc2c(c1)c(C(=O)Nc1cc(C(=O)O)cc(-c3cnn(C)c3)c1)cn2C(C)=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4171749","COc1ccc2c(c1)c(C(=O)Nc1cc(C(=O)O)cc(-c3cnn(C)c3)c1F)cn2C(C)=O","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL3814752","C[C@@H]1CC(=O)Nc2cccc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2N1","Active"
"Q09472","Histone acetyltransferase p300","IC50","CHEMBL4452725","Cc1cc(-c2ccc(/C=C3\C(=O)N(c4ccc(C(=O)O)cc4)N=C3C3CC3)o2)c([N+](=O)[O-])cc1C","Active"
