Uniprot_ID,early_stop
P00533,False
P56817,False
P42336,False
P22303,False
P12931,False
P49841,False
P27338,False
P28482,False
P06276,False
P21397,False
O75116,False
Q5S007,False
P05067,False
Q00535,False
P07900,False
P06241,False
P40763,False
P36544,False
P07948,False
Q13131,False
Q06124,False
Q15303,False
P49674,False
Q13546,False
Q09472,False
P62993,False
P27361,False
P01116,False
P19174,False
P10636,False
P35222,False
P27986,False
P80192,False
P43681,False
Q16584,False
Q02779,False
P01112,False
P61586,False
P54646,False
P29353,False
P63096,False
Q5TCY1,False
Q6IQ55,False
Q5TCX8,False
P17787,False
